name,id,latitude,longitude,address,working_day,name_en,address_en,working_day_en
บ้านชาติ,IC52098,13.76018,100.496414,98 ถนนจักรพงษ์ แขวงตลาดยอด เขตพระนคร กทม. 10200,จันทร์-อาทิตย์ 07.00-02.00 น. ,Bann Chart,"98 Chakrabongse Road Talat elite Metroplitan, Bangkok 10200",Monday-Sunday 07.00-02.00 
เอ็มบีเค ชั้น G,IC52131,13.74486,100.52978,444  มาบุญครองเซ็นเตอร์ ชั้น G ถนนพญาไท แขวงวังใหม่ เขตปทุมวัน กรุงเทพมหานคร 10330,จันทร์-อาทิตย์ 10.00-21.00 น. ,MBK G FLOOR,"445 G FL. MBK center Building Phayathai,Wangmai, Phatumwan, Bangkok 10330",Monday-Sunday 10.00-21.00 
สยาม พารากอน,IC277842,13.7468792,100.5348963,ศูนย์การค้าสยามพารากอน เลขที่ 991 ถนนพระราม 1 แขวงปทุมวัน เขตปทุมวัน จังหวัดกรุงเทพมหานคร 10330,จันทร์-อาทิตย์ 10.00-22.00 น. ,Siam Paragon,"No.991 Siam Paragon Bldg., Rama 1 Rd., Patumwan, Bangkok 10330",Monday-Sunday 10.00-22.00 
มณเฑียร สุรวงศ์,IC52133,13.730114,100.531674,เลขที่ 50 ถนนสุรวงศ์ แขวงสี่พระยา เขตบางรัก กรุงเทพ,จันทร์-อาทิตย์ 07.00-02.00 น. ,MONTIEN SURAWONG,50 Surawong Road Si Pra Ya Bang Ruk Bangkok,Monday-Sunday 07.00-02.00 
ซีพี ทาวเวอร์,IC114453,13.72766,100.532413,313 ถนนสีลม แขวงสีลม เขตบางรัก กรุงเทพ 10500,จันทร์-ศุกร์ 07.00-23.00 น. เสาร์-อาทิตย์ 8.00-23.00 น. ,CP Tower,"313 Silom Road, Silom, Bang Rak, Bangkok 10500",Monday-Friday 07.00-23.00 Saturday-Sunday 8.00-23.00 
แกรนด์ไดม่อน ,IC52121,13.7503628,100.53843,888 ถนนเพชรบุรี เพขรบุรี เขตราชเทวี กรุงเทพฯ 10400,จันทร์-อาทิตย์ 07.00-02.00 น. ,GRAND DIAMOND,"888 Petchaburi Road,Petchaburi, Ra Bangkok, Thailand 10400",Monday-Sunday 07.00-02.00 
สีลม,IC52162,13.7290434,100.535232,10 ถ.สีลม สุรวงศ์ บางรัก กทม. 10500,จันทร์-อาทิตย์ 7.00-24.00 น. ,Silom,10 Silom Surawong Bangruk Bangkok 10500,Monday-Sunday 7.00-24.00 
นานา สแควร์,IC52136,13.742665,100.552583,นานาสแควร์  49 ถนน สุขุมวิท ซอย 3 คลองเตยเหนือ เขตวัฒนา กรุงเทพฯ 10110,จันทร์-อาทิตย์ 10.00-24.00 น. ,NANA SQUARE,Nana Square 1st Fl.Sukhumvit 49 Klong Toey Wattana 10110,Monday-Sunday 10.00-24.00 
ริเวอร์ไซด์ พลาซ่า,IC52102,13.7051638,100.490587,257 ถนนเจริญนคร แขวงสำเหร่ เขตธนบุรี กรุงเทพฯ 10600,จันทร์-อาทิตย์ 07.00-24.00 น. ,Riverside Plaza,"No.257 ,Room 107 ,Charoennakorn Road ,Samrae ,Thonburi 10600",Monday-Sunday 07.00-24.00 
สุขุมวิท 11,IC89861,13.741752,100.556504,โรงแรมแอมบาสซาเดอร์กรุงเทพ ถนน สุขุมวิท ซอย 11 แขวงคลองเตยเหนือ เขตวัฒนา จังหวัดกรุงเทพมหานคร 10110,จันทร์-อาทิตย์ 07.00-00.00 น. ,Sukhumvit 11,"Ambassador Hotel Bangkok, Sukhumvit Soi 11, Khlongtoey Nua, Wattana, Bangkok 10110",Monday-Sunday 07.00-00.00 
สุขุมวิท 15,IC89862,13.738751,100.55836,โรงแรม S15 กรุงเทพ เลขที่ 217 ซอยสุขุมวิท 15 คลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,จันทร์-อาทิตย์ 09.00-23.00 น. ,Sukhumvit 15,"S15 Hotel, Room 217, Sukhumvit Soi 15, Khlongtoey Nua, Wattana, Bangkok 10110",Monday-Sunday 09.00-23.00 
เชลล์ อโศก,IC57214,13.7431667,100.5623333,สถานีบริการเชลล์ ถ.อโศกมนตรี คลองเตยเหนือ วัฒนา กทม. 10110,จันทร์-อาทิตย์ 07.00-02.00 น. ,Shell Asoke,"Shell Service Station, Asok Montri Road, Khlong Toei Nuea, Wattana, Bangkok 10110",Monday-Sunday 07.00-02.00 
ศูนย์ประชุมแห่งชาติสิริกิติ์,IC295801,13.7240492,100.5588048,ศูนย์ประชุมแห่งชาติสิริกิติ์ ฟู๊ดฮอลล์ เลขที่ 60 ถ. รัชดาภิเษก แขวง คลองเตย เขตคลองเตย กรุงเทพมหานคร 10110,จันทร์-อาทิตย์ 07.00-21.30 น. ,QSNCC,"Queen Sirikit National Convention Center Food Hall QSNCC No.60 Ratchadapisek road, Khlongtoey, Bangkok 10110",Monday-Sunday 07.00-21.30 
ปตท. พรานนก (ขาเข้า),IC55555,13.75299,100.447969,ปตท. พรานนก ชั้น1   ถ. พระเทพ แขวงบางพรม เขตตลิ่งชั่น กทม. 10170,จันทร์-อาทิตย์ 7.00-22.00 น. ,PTT PRANNOK KANCHANAPISEK (IB),"PTT Prannok, 1st Floor, Phra Thep Road, Bang Phrom Subdistrict, Taling Chan District, Bangkok 10170",Monday-Sunday 7.00-22.00 
เอ็มโพเรียม,IC52108,13.730558,100.568627,622 ถนน สุขุมวิท แขวง คลองตัน เขต คลองเตย กรุงเทพมหานคร 10110,ทุกวัน 10.00 - 21.00 น.,EMPORIUM,"622 Sukhumvit, Klongton, Wattana, Bangkok 10110",Every Day 10.00 - 21.00
เอ็มควอเทียร์,IC52109,13.7310677,100.5693884,689 ถ.สุขุมวิท แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพฯ 10110,จันทร์-อาทิตย์ 10.00-21.00 น. ,EMQUARTIER,689 sukhumvith road kiongtannua Khet Watthana Bangkok 10110,Monday-Sunday 10.00-21.00 
เอสโซ่ เพชรบุรี (ขาเข้า),IC69438,13.746888,100.57232,สถานีบริการเอสโซ่ 1938/1 ถนนเพชรบุรี บางกะปิ ห้วยขวาง กทม. 10310,จันทร์-อาทิตย์ 07.00-02.00 น. ,ESSO PHETBURI ROAD IB,"Esso Service Station 1938/1 Phetchaburi Road, Bang Kapi, Huai Khwang, Bangkok 10310",Monday-Sunday 07.00-02.00 
ปตท. พรานนก,IC52148,13.751755,100.441894,สถานีบริการปตท พรานนก  เลขที่ 511/2 ถนนพรานนก-พุทธมณฑล สาย 4 แขวงบางพรม เขตตลิ่ชัน กรุงเทพมหานคร 10170,จันทร์-อาทิตย์ 07.00-22.00 น. ,PTT PRANOK KANCHANAPISEK,PTT Prannok Puthamonthon Sai 4 Bangphrom Talingchan 10170,Monday-Sunday 07.00-22.00 
เดอะ สตีท รัชดา,IC52167,13.76984,100.5723,139 ถนนรัชดาภิเษก แขวงดินแดง เขตดินแดง กรุงเทพฯ 10400,จันทร์-อาทิตย์ 07.00-02.00 น. ,THE STREET RATCHADA,139 Ratchadapisek Road Din Daeng Din Daeng Bangkok 10400,Monday-Sunday 07.00-02.00 
ทองหล่อ,IC52168,13.7283185,100.580993,Market Place ทองหล่อ 148 สุขุมวิท 55 แขวงคลองตันเหนือ เขตวัฒนา กทม 10110,จันทร์-อาทิตย์ 07.00-02.00 น. ,Thonglor,Market Place Thonglor 148 Sukumvit 55 Klongton Nuea Wattana BKK 10110,Monday-Sunday 07.00-02.00 
โรงพยาบาลกรุงเทพ,IC177910,13.748351,100.583781,เลขที่ 2 ซอยศูนย์วิจัย7 ถนนเพชรบุรี แขวงบางกะปิ เขตห้วยขวาง กทม.10310,จันทร์-อาทิตย์ 07.00-22.00 น. ,Bangkok Hospital,"2 Soi soonvijai7, Phetburi road, Bangkapi, Huaikhwang, Bangkok 10310",Monday-Sunday 07.00-22.00 
คาลเท็กซ์ ประชานุกูล,IC52104,13.83065,100.54354,ถนน รัชดาภิเษก แขวงลาดยาว เขตจตุจักร กรุงเทพมหานคร 10900,จันทร์-อาทิตย์ 07.00-02.00 น. ,CALTEX PRACHANUKUN,"Ratchadaphisek Rd, Lat Yao, Chatuchak, Bangkok 10900",Monday-Sunday 07.00-02.00 
ประชาอุทิศ 45,IC255628,13.652036,100.496972,83/2 ถ.ประชาอุทิศ ซ.ประชาอุทิศ45 แขวงบางมด เขตทุ่งครุ กทม. 10140,จันทร์-อาทิตย์ 07.00-23.00 น. ,PrachaUthit 45,"83/2 PrachaUthit road, Soi PrachaUthit 45 ,Bangmod Thungkru Bangkok 10140",Monday-Sunday 07.00-23.00 
เดอะ ไบร์ท,IC52164,13.6692147,100.4515239,ห้างสรรพสินค้าเดอะไบท์ 15/9 ถนนพระราม 2 แขวงท่าข้าม เขตบางขุนเที่ยน กรุงเทพมหานคร 10150,จันทร์-อาทิตย์ 07.00-02.00 น. ,THE BRIGHT,"The Bright mall 15/9 Rama2 Rd. Thakam,Bangkhunthain, Bangkok 10150",Monday-Sunday 07.00-02.00 
เรส เอเรีย ประชาชื่น,IC52150,13.8405586,100.5343598,ทางด่วนประชื่นขาออก  แขวง วงศ์สว่าง เขต บางซื่อ กทม. 10800,ทุกวัน day 7.00-23.45 น.,REST AREA PRACHACHUEN,"Wong Sawang, Bang Sue, Bangkok 10800",Every day 7.00-23.45
รัชดา,IC305053,13.8196513,100.5753607,ถนนรัชดาภิเษก แขวงจันทรเกษม เขตจตุจักร กทม. 10110,จันทร์-อาทิตย์ 07.00-02.00 น. ,Ratchada,"Ratchadaphisek road, Chan Kasem sub-district, Chatuchak district, Bangkok 10110",Monday-Sunday 07.00-02.00 
สุขุมวิท 52,IC87647,13.704338,100.601415,เลขที่ 1750 ถนนสุขุมวิท52 แขวงพระโขนงใต้ เขตพระโขนง กรุงเทพมหานคร 10260,จันทร์-อาทิตย์ 07.00-02.00 น. ,Sukhumvit 52,-,Monday-Sunday 07.00-02.00 
เชลล์ กาญจนาภิเษก,IC52157,13.766931,100.4078373,สถานีบริการเชลล์ ถนนกาญจนาภิเษก กม 28 ศาลาธรรมสพน์ ตลิ่งชั้น กรุงเทพฯ 10170,จันทร์-อาทิตย์ 07.00-02.00 น. ,SHELL KANCHANAPISEK KM 28,Shell Kanchanapisek KM 28 Salathammasok Talingchan 10170,Monday-Sunday 07.00-02.00 
ปตท. ตลิ่งชัน,IC126418,13.774401,100.407446,ปตท.ตลิ่งชัน ขาออก ถนนกาญจนาภิเษก แขวงศาลาธรรมสพน์ เขตทวีวัฒนา กทม.10170,จันทร์-อาทิตย์ 07.00-23.00 น. ,PTT Talingchan OB,"PTT Talingchan,  Kanchanaphisek Road, Sala Thammasop, Thawi Watthana, Bangkok 10170",Monday-Sunday 07.00-23.00 
บางจาก พัฒนาการ 27,IC52100,13.7373487,100.6178184,1405 ถนนพัฒนาการ แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250,จันทร์-อาทิตย์ 0.00-24.00 น. ,BANGCHAK PATTANAKARN 27,"1405 Phatthanakarn Rd. Suanluang, Bangkok 10250",Monday-Sunday 0.00-24.00 
เรสแอเรียบางนา,IC139528,13.68655,100.601717,"สถานีบริการปตท.เรสแอเรีย บางนา ขาเข้า 134 สุขุมวิท64 แยก10,พระโขนงใต้,พระโขนง กทม.10260",จันทร์-อาทิตย์ 7.00-22.00 น. ,REST AREA BANGNA IB,"PTT Service Area Bangna Service Station, Inbound 134 Sukhumvit 64, Junction 10, Phra Khanong Tai, Phra Khanong, Bangkok 10260",Monday-Sunday 7.00-22.00 
ปตท. บางนา (ขาออก),IC52144,13.6861,100.60275,ปตท. บางนา 102 ซอยสุขุมวิท64 แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร 10260,จันทร์-อาทิตย์ 07.00-02.00 น. ,PTT BANGNA EXPRESSWAY (OB),"PTT Bangna, 102 Soi.sukhumvit 64,Bangchak, Phra Khanong, Bangkok 10260",Monday-Sunday 07.00-02.00 
เอสโซ่ บางแค,IC52110,13.7091301,100.396961,สถานีบริการเอสโซ่ เลขที่ 1395 ถนนเพชรเกษม แขวงบางแค เขตบางแค กรุงเทพมหานคร 10160,จันทร์-อาทิตย์ 7.00-22.00 น. ,ESSO BANGKAE,Esso Gas Station  Bangkea 1395 Petchkasem Road Bangkae 10160,Monday-Sunday 7.00-22.00 
คาลเท็กซ์ งามวงศ์วาน 45,IC262694,13.8542668,100.5500822,คาลเทกซ์ งามวงศ์วาน ถ.งามวงศ์วาน แขวงทุ่งสองห้อง เขตหลักสี่ กทม.10210,จันทร์-อาทิตย์ 07.00-23.00 น. ,Caltex Ngamwongwan 45,"CALTEX NGAMWONGWAN, Ngamwongwan Road Thungsonghong Laksi Bangkok 10210",Monday-Sunday 07.00-23.00 
โลตัส ลาดพร้าว 120,IC56254,13.7780938,100.623335,2410 ถนนลาดพร้าว แขวงพลับพลา เขตวังทองหลาง จังหวัดกรุงเทพมหานคร 10310,จันทร์-อาทิตย์ 07.00-02.00 น. ,Lotus Lardprao 120,"2410 Lat Phrao Road, Phlapphla District, Wang Thonglang District Province, Bangkok 10310",Monday-Sunday 07.00-02.00 
บางจาก กาญจนาภิเษก,IC52099,13.6710808,100.4050532,เลขที่ 95/2 ถนนกาญจนาภิเษก แขวงบางบอน เขตบางบอน กรุงเทพมหานคร 10150,จันทร์-อาทิตย์ 07.00-24.00 น. ,BANGCHAK KANCHANAPISEK (DT),95/2 Kanchanapisek Road Bangbon 10150,Monday-Sunday 07.00-24.00 
เชลล์ เวสต์เกต,IC158030,13.835341,100.414,เชลล์ เวสเกต ถนนกาญจนาภิเษก บางเมือง อ.บางใหญ่ แจ้งวัด นนทบุรี 11140,จันทร์-อาทิตย์ 07.00-24.00 น. ,Shell Westgate,"Shell Westgate, 25/50 หมู่ 11 Bang Muang, Bang Yai District, Nonthaburi 11140",Monday-Sunday 07.00-24.00 
เดอะ มอลล์ บางกะปิ,IC139526,13.765787,100.6425,3522 ถนนลาดพร้าว แขวงคลองจัน เขตบางกะปิ กรุงเทพฯ 10240,จันทร์-ศุกร์ 10.00-20.30 น. เสาร์-อาทิตย์ 10.00-21.00 น. ,The Mall Bangkapi,3522 Lardprao Road KlongJan Bangkapi Bangkok 10240,Monday-Friday 10.00-20.30 Saturday-Sunday 10.00-21.00 
พาราไดซ์ พาร์ค,IC52137,13.687742,100.647632,61 ชั้นG ศูนย์การค้าพาราไดซ์ พาร์ค ถนนศรีนคริทร์ แขวงหนองบอน เขตประเวศ กทม.10250,จันทร์-อาทิตย์ 10.30-21.00 น. ,Paradise Park,61 G Fl. Paradise Department Store Srinakarin Rd Bangbon Pravet 10250,Monday-Sunday 10.30-21.00 
ลิตเติ้ล วอร์ค บางนา,IC52129,13.667485,100.639228,เลขที่ 769/1 ถนนบางนา-ตราด แขวงบางนา เขตบางนา กรุงเทพมหานคร 10260,จันทร์-อาทิตย์ 07.00-02.00 น. ,Little Walk Bangna,769/1 Bangna -Trad Road  Bangna 10260,Monday-Sunday 07.00-02.00 
เอสโซ่ เพชรเกษม 108 (ขาเข้า),IC71493,13.707041,100.352758,เอสโซ่ เพชรเกษม108 ขาเข้า แขวงหนองค้างพลู เขตหนองแขม กทม. 10160,จันทร์-อาทิตย์ 7.00-22.00 น. ,ESSO PHETKASEM 108 IB,"Esso Gas Station Petchkasem 108 Nong Khang Phlu, Nong Khaem, Bangkok 10160",Monday-Sunday 7.00-22.00 
เชลล์ ราชพฤกษ์ (ขาออก),IC52159,13.891053,100.449789,สถานีบริการเชลล์ ถนนราชพฤกษ์ ตำบลท่าอิฐ อำเภอปากเกร็ด จังหวัดนนทบุรี 11120,จันทร์-อาทิตย์ 07.00-02.00 น. ,SHELL RATCHAPRUK (OB),Shell Ratchapruk Ta-It Pakkred Nonthaburi 11120,Monday-Sunday 07.00-02.00 
ปตท. เดอะ ดีล แจ้งวัฒนะ,IC158028,13.889204,100.572903,ปตท.เดอะดีล แจ้งวัฒนะ 99/114 ถ.แจ้งวัฒนะ แขวงทุ่งสองห้อง เขตหลักสี่ กทม.10210,จันทร์-อาทิตย์ 07.00-24.00 น. ,PTT The Deal Chaengwattana,"PTT The Deal Chaengwattana 99/114 Chaengwattana Rd., Thung Song Hong, Lak Si, Bangkok 10210",Monday-Sunday 07.00-24.00 
เชลล์ แจ้งวัฒนะ,IC52156,13.9050128,100.5229999,ถนนแจ้งวัฒนะ อำเภอปากเกร็ด จังหวัดนนทบุรี 11120,จันทร์-อาทิตย์ 07.00-02.00 น. ,SHELL CHANGWATTANA,"Chaengwattana Rd, Pak Kret, Nonthaburi 11120",Monday-Sunday 07.00-02.00 
แจส ศรีนครินทร์ ,IC52125,13.6353045,100.631813,ห้อง101 ศูนย์การค้าแจส เออเบิร์น ศรีนครินทร์ 788 หมู่ 5 ตำบลสำโรงเหนือ อำเภอเมืองสมุทรปราการ จังหวัดสมุทรปราการ 10270,จันทร์-อาทิตย์ 7.00-24.00 น. ,JAS SRINAKARIN,ห้อง101 ศูนย์การค้าแจส เออเบิร์น ศรีนครินทร์ 788 หมู่ 5 ตำบลสำโรงเหนือ อำเภอเมืองสมุทรปราการ จังหวัดสมุทรปราการ 10270,Monday-Sunday 7.00-24.00 
อิมแพ็ค เมืองทองธานี ,IC52124,13.9118676,100.5475251,เดอะพอทัล อิมเพคเมืองทองธานี เลขที่ 92 ถนนป๊อปปูล่า ตำบลบ้านใหม่ อำเภอปากเกล็ด จังหวัดนนทบุรี 11120,จันทร์-อาทิตย์ 9.00-02.00 น. ,IMPACT MUANGTHONG,เดอะพอทัล อิมเพคเมืองทองธานี เลขที่ 92 ถนนป๊อปปูล่า ตำบลบ้านใหม่ อำเภอปากเกล็ด จังหวัดนนทบุรี 11120,Monday-Sunday 9.00-02.00 
เอสโซ่ รามอินทรา กม. 6.5,IC52117,13.8457418,100.6506651,46/131 ถ.รามอินทรา แขวง ท่าแร้ง เขต บางเขน กรุงเทพฯ 10220,จันทร์-อาทิตย์ 07.00-02.00 น. ,ESSO RAMINTRA KM 6.5,6/131 Rd.Ramintra subdistrict Tarrang District BangKhane Bangkok 10220,Monday-Sunday 07.00-02.00 
ปตท. กรุงเทพกรีฑา (ขาออก),IC255694,13.7522757,100.6864822,ปตท กรุงเทพกรีฑา เลขที่ 18/4 ถ.กาญจนาภิเษก แขวงทับช้าง เขตสะพานสูง กทม. 10250,จันทร์-อาทิตย์ 07.00-22.00 น. ,PTT Krungthepkritha (OB),"PTT Krungthepkritha 18/4 Kanchanaphisek road Thap Chang Subdistrict,Saphan Sung District BKK 10250",Monday-Sunday 07.00-22.00 
เดอะ โฟร์ท พุทธมณฑล สาย 4,IC271230,13.75903,100.32988,เลขที่ 111/31 เดอะโฟร์ท พุทธมณฑล สาย4 ถนนพุทธมณฑล สาย 4 แขวงกระทุ่มล้ม เขตสามพราน จ.นครปฐม 73220,จันทร์-อาทิตย์ 07.00-22.00 น. ,The Fourth Putthamonthon Sai 4,"No. 111/31 The Fourth  Putthamonthon Sai 4 Rd, Krathum Lom, Sam Phran District, Nakhon Pathom 73220",Monday-Sunday 07.00-22.00 
เชลล์ บางนา กม. 6.5,IC313909,13.6596966,100.665375,เลขทึ่ 7/19 หมู่1 4 ถ.บางนา-ตราด ต.บางแก้ว อ.บางพลี จ.สมุทรปราการ 10540,จันทร์-อาทิตย์ 07.00-24.00 น. ,Shell Bangna KM. 6.5,"No. 7/19 Bang-na trat Frontage road, Bang Kaeo, Amphoe Bang Phli, Chang Wat, Samut Prakan 10540",Monday-Sunday 07.00-24.00 
เอสโซ่ บางนา กม.8 (ขาเข้า),IC52111,13.6517455,100.677276,7/304  ม.13 ถ.บางนาตราด  กม.8 ต.บางแก้ว  อ.บางพลี  จ.สมุทรปราการ 10540,จันทร์-อาทิตย์ 07.00-22.00 น. ,ESSO BANGNA KM . 8 INBOUND,"7/304 moo.13 Bangna Trad Rd. Bang Keaw Bang Pli, Samutprakarn 10540",Monday-Sunday 07.00-22.00 
เมกาบางนา,IC139518,13.648124,100.680575,"1220 ชั้น 1 เมกา บางนา เลขที่ 38,38/1-3 ,39 ถนนบางนาตราด กม 8 ตำบลบางแก้ว อำเภอ บางพลี สมุทรปราการ 10540",จันทร์-อาทิตย์ 10.00-22.00 น. ,MEGA BANGNA,"1220 Floor 1 36,38/1-3,39 Bangna Trad Rd. Bang Keaw Bang Pli, Samutprakarn 10540",Monday-Sunday 10.00-22.00 
ท่าอากาศยานดอนเมือง การ์เด้น,IC52179,13.9173449,100.6006982,ท่าอากาศยานดอนเมือง : เทอร์มินอล 2 ภายในประเทศ (แลนด์ไซด์ ชั้น 1 การ์เด้น),ทุกวัน 05.00-23.00 น.,BK_DMK GARDEN,"Don Mueang Airport - Terminal 2 Domestic (Landside : Garden/Arrivals Floor, 1st Floor)",Every day 05.00-23.00
แจส กรีน วิลเลจ คู้บอน,IC257436,13.85644,100.68032,แจส กรีน วิลเลจ ถนน คู้บอน แขวง บางชัน เขตคลองสามวา กรุงเทพมหานคร 10510,จันทร์-อาทิตย์ 07.00-02.00 น. ,Jas Green Village Khubon,"Jas Green Village, Khubon Road, Bangchan, Klongsamwa, Bangkok 10510",Monday-Sunday 07.00-02.00 
