name,id,latitude,longitude,address,working_day,name_en,address_en,working_day_en
ลิตเติ้ล วอล์ค ลาดกระบัง,IC305052,13.722397,100.725919,เลขที่ 597/1 ห้องเลขที่ LWLBF1C-C1 อาคารศูนย์การค้า LITTE WALK สาขาลาดกระบัง ถนนลาดกระบัง แขวงลาดกระบัง เขตลาดกระบัง กรุงเทพ 10520,จันทร์-อาทิตย์ 07.00-23.00 น. ,Little Walk Ladkrabang,No.597/1 Room LWLBF1C-C1 Little Walk Ladkrabang  Ladkrabang road district Ladkrabang Bangkok 10520,Monday-Sunday 07.00-23.00 
เอสโซ่ พหลโยธิน กม 25,IC52114,13.932044,100.625953,สถานีบริการเอสโซ่ ถนนพหลโยธินก.ม 25 แขวงสายไหม เขตสายไหม กรุงเทพมหานคร 10220,จันทร์-อาทิตย์ 07.00-23.00 น. ,ESSO PHAHOLYOTHIN KM 25,Esso Phaholyothin KM 25 Saimai 10220,Monday-Sunday 07.00-23.00 
เชลล์ ร่มเกล้า,IC52160,13.741187,100.747145,25/2 ซอยร่มเกล้า แขวงลาดกระบัง เขตลาดกระบัง กรุงเทพฯ 10521,จันทร์-อาทิตย์ 07.00-23.00 น. ,SHELL ROMKLAO,"Shell Gas Station Soi RomKlao 25/2 Romklao Road Ladkrabang, Bangkok",Monday-Sunday 07.00-23.00 
ท่าอากาศยานสุวรรณภูมิ คอนคอร์ด เอฟ,IC52173,13.6929971,100.7463311,ท่าอากาศยานสุวรรณภูมิ (แอร์ไซด์ คอนคอร์ด เอฟ ชั้น 4),ทุกวัน ตลอด 24 ชม.,BK_SBIA F,"Suvarnabhumi Airport (Airside Concourse F, 4th Floor)",Every day 24 hrs.
ท่าอากาศยานสุวรรณภูมิ คอนคอร์ด ฟู้ดสต๊อป,IC52174,13.69154,100.7482888,ท่าอากาศยานสุวรรณภูมิ (แอร์ไซด์ คอนคอร์ด เอ โซนฟู้ดสต๊อป ชั้น 2),ทุกวัน 05.00-22.00 น.,BK_SBIA FS,"Suvarnabhumi Airport (Airside Concourse A(Food Stop), 2nd Floor)",Every day 05.00-22.00
ท่าอากาศยานสุวรรณภูมิ เมน เทอร์มินอล ชั้น 3,IC52175,13.694201,100.75188,ท่าอากาศยานสุวรรณภูมิ (แลนด์ไซด์ เมน เทอร์มินอล ชั้น 3),ทุกวัน ตลอด 24 ชม.,BK_SBIA L3,"Suvarnabhumi Airport (Landside Main Terminal, 3rd Floor)",Every day 24 hrs.
สายไหม มอลล์,IC99907,13.921011,100.680147,"No. 599 Sai Mai Rd, Khwaeng Sai Mai, Sai Mai, Bangkok 10220",จันทร์-อาทิตย์ 07.00-22.00 น. ,Sai Mai Mall,เลขที่ 599 ถ. สายไหม แขวง สายไหม เขตสายไหม กรุงเทพมหานคร 10220,Monday-Sunday 07.00-22.00 
เอสโซ่ รังสิต (ขาออก),IC52118,13.967482,100.618598,เลขที่ 293 หมู่ที่ 13 ถนนพหลโยธิน ตำบลคูคต อำเภอลำลูกกา จังหวัดปทุมธานี  12130,จันทร์-อาทิตย์ 07.00-02.00 น. ,ESSO RANGSIT OUTBOUND,293 /13 Phaholyothin Road Khu Khot sub district  Lam Luk Ka  Pathum Thani 12130,Monday-Sunday 07.00-02.00 
ท่าอากาศยานสุวรรณภูมิ คอนคอร์ด บี,IC52172,13.675851,100.762196,ท่าอากาศยานสุวรรณภูมิ (แอร์ไซด์ คอนคอร์ด บี ชั้น 4),ทุกวัน ตลอด 24 ชม.,BK_SBIA B,"Suvarnabhumi Airport (Airside Concourse B, 4th Floor)",Every day 24 hrs.
ปตท. เภตรา,IC139524,14.007111,100.553678,ปตท. เภตรา ชั้น1  140 หมู่2 ถ. ติวานนท์ ต. บ้านกลาง อ. เมือง จ. ปทุมธานี 12000,จันทร์-อาทิตย์ 7.00-22.00 น. ,PTT Petra,"PTT Petra, 1st Floor, 140 Moo 2, Tiwanon Road, Ban Klang Subdistrict, Muang District, Pathum Thani 12000",Monday-Sunday 7.00-22.00 
เอสโซ่ พระราม 2 กม 25 (ขาออก),IC52115,13.5711327,100.2916849,สถานีบริการเอสโซ่ ถนนพระราม 2 กม25 ตำบลนาดี อำเภอเมืองสมุทรสาคร จังหวัดสมุทรสาคร 74000,จันทร์-อาทิตย์ 7.00-22.00 น. ,ESSO RAMA 2 KM 25 (OB),Esso Gas Station  Rama2 Road KM25  Bangkajao Samut Sakhon 74000,Monday-Sunday 7.00-22.00 
ปตท. สุวินทวงศ์ (ขาเข้า),IC55554,13.80934,100.806974,เลขที่ 89/9 หมู่ 8 แขวงโคกแฝด เขตหนองจอก กรุงเทพมหานคร 10530,จันทร์-อาทิตย์ 7.00-22.00 น. ,PTT SUWINTHAWONG (IB),"No. 89/9 Moo 8, Khok Faet Subdistrict, Nong Chok District, Bangkok 10530",Monday-Sunday 7.00-22.00 
คาลเท็กซ์ รังสิต คลอง 3,IC158029,13.997096,100.670699,ปั๊มน้ำมันคาลเทกซ์ รังสิตคลอง3 ขาออก ต.บึงยี่โถ อ.ธัญบุรี ปทุมธานี 12130,จันทร์-อาทิตย์ 07.00-24.00 น. ,Caltex Rangsit Klong 3,"Caltex Rangsit Klong3 OB, Bueng Yitho, Thanyaburi District, Pathum Thani 12130",Monday-Sunday 07.00-24.00 
เอสโซ่ นครชัยศรี,IC52113,13.7781303,100.1770467,สถานีบริการเอสโซ่ เลขที 30/13 หมู่ 4 ตำบลท่าตำหนัก อำเภอนครชัยศรี จังหวัดนครปฐม 73120,จันทร์-อาทิตย์ 7.00-22.00 น. ,ESSO NAKORNCHAISRI,Esso Nakornchaisri 30/13 Moo 4 Tathamnak Nokornchaisri Nakornpathom 73120,Monday-Sunday 7.00-22.00 
เอสโซ่ พระราม 2 กม 35 (ขาเข้า),IC52116,13.5328379,100.2069318,สถานีบริการเอสโซ่ ถนน พระราม 2 กม 35 อำเภอบางกระเจ้า จังหวัดสมุทรสาคร 74000,จันทร์-อาทิตย์ 7.00-22.00 น. ,ESSO RAMA 2 KM 35 (IB),Esso Gas Station  Rama2 Road  Bangkajao Samut Sakhon 74000,Monday-Sunday 7.00-22.00 
ปตท. บางนา-ตราด กม.27 ขาเข้า,IC141866,13.58572,100.8434,340/1 หมู่1 ถ.บางนาตราด ตำบลบางบ่อ อำเภอบางบ่อ จังหวัดสมุทรปราการ 10560,จันทร์-อาทิตย์ 7.00-23.00 น. ,PTT Bangna Trad KM27 IB,"340/1 Moo1 Bangna Trad Road, Bangbor, Samutprakran 10560",Monday-Sunday 7.00-23.00 
ออโต้มอลล์ ,IC52097,14.112625,100.61784,58/854ม. 13 ต.คลองหนึ่ง อ.คลองหลาวง ปทุมธานี 12120,จันทร์-อาทิตย์ 07.00-22.00 น. ,AUTO MALL,"58/854Moo13 Klongnung klongloung, Pathumthani 12120",Monday-Sunday 07.00-22.00 
เอสโซ่วังน้อย,IC139517,14.186142,100.628349,45 หมู่ที่ 1 ถนนพหลโยธิน ตำบลลำไทร อำเภอวังน้อย จ.พระนครศรีอยุธยา 13170,ทุกวัน 7.00-23.00 น.,ESSO WANGNOI,45 Moo 1 Phaholyothin Rd.Bangsai Wongnoi Ayutthaya 13170,Every day 7.00-23.00
พอร์โต โก บางปะอิน,IC190532,14.2018134,100.6079166,80/8 หมู่ที่ 4 ถนนสายเอเชีย 32 ตำบล คลองจิก อำเภอบางปะอิน จังหวัดพระนครศรีอยุธยา 13160,จันทร์-อาทิตย์ 7.00-23.00 น. ,Porto Go Bang Pa-In,"80/8 หมู่ที่ 4 Asia Road 3, Khlong Chik, Bang Pa-in District, Phra Nakhon Si Ayutthaya 13160",Monday-Sunday 7.00-23.00 
มอเตอร์เวย์ ขาเข้า ,IC52135,13.5396538,101.0080966,85/69-70 หมู่1 ต.เขาดิน อ.บางปะกง จ.ฉะเชิงเทรา 24130,ทุกวัน 6.00-23.00 น.,MOTORWAY INBOUND,85/69-70 Moo 1 T.Kaodin A.Pangpakong Chachoengsao 24130,Every day 6.00-23.00
มอเตอร์เวย์ ขาออก,IC52134,13.539633541816,101.00928515196,45/67หมู่7 ตำบล เขาดิน อำเภอ บางปะกง จังหวัด ฉะเชิงเทรา 24130,ทุกวัน day 7.00-23.45 น.,MOTORWAY,45/67 Moo 7 Tambon Khao Din district of Chachoengsao 24130,Every day 7.00-23.45
เชลล์ ฉะเชิงเทรา,IC52155,13.539678,101.009371,สถานีบริการเชลล์ ฉะเชิงเทรา ขาออก ถนน 314 ตำบลลาดขวาง อำเภอบ้านโพธิ์ จังหวัดฉะเชิงเทรา 24140,ทุกวัน 7.00-22.00 น.,SHELL CHACHENGSAO 314 (OB),Shell Gas Station 314  Road Lad khwang Barn Pho Chachoengsao 24140,Every day 7.00-22.00
ปตท. ลำพญา,IC139527,13.79787,99.96181,ปตท. ลำพญา3 ขาเข้า ต.สระกะเทียม อ.เมืองนครปฐม จ.นครปฐม 73000,จันทร์-อาทิตย์ 7.00-22.00 น. ,PTT LAMPHAYA 3 IB,"PTT Lam Phaya 3 inbound, Sa Kakiam Subdistrict, Muang Nakhon Pathom District, Nakhon Pathom Province 73000",Monday-Sunday 7.00-22.00 
บางจากชลบุรี บายพาส,IC57221,13.413579,100.999581,สถานีบริการน้ำมันบางจาก 99/1 หมู่4 ถนนชลบุรีบายพาส ตำบลหนองไม้แดง อำเภอเมืองชลบุรี จังหวัดชลบุรี 20000,จันทร์-อาทิตย์ 07.00-22.00 น. ,BANGCHAK CHONBURI BY PASS OB,Bangchak Service Station 99/1 Moo 4 Chon Buri Bypass Road Nong Mai Daeng Sub-district Mueang Chon Buri District Chonburi Province 20000,Monday-Sunday 07.00-22.00 
ปตท ชลบุรี บายพาส,IC52145,13.342231,100.993816,สถานีบริการปตท.จิฟฟี่ บายพาส 4 บ้านสวน อำเภอเมืองชลบุรี ชลบุรี 20000,ทุกวัน 7.00-23.00 น.,PTT CHONBURI BYPASS IB,PTT Jiffy Bypass 4 Barbsuan Chonburi 20000,Every day 7.00-23.00
ปตท. ชลบุรี บายพาส,IC99905,13.372037,101.019627,สถานีบริการปตท.จิฟฟี่ บายพาส 4 บ้านสวน อำเภอเมืองชลบุรี ชลบุรี 20000,จันทร์-อาทิตย์ 07.00-21.30 น. ,PTT Chonburi Bypass,"PTT Jiffy Bypass Service Station 4, Ban Suan, Mueang Chon Buri, Chonburi 20000",Monday-Sunday 07.00-21.30 
บางจาก ศรีราชา,IC99906,13.159668,100.92419,137/102 (สถานีบริการบางจาก) ตำบลศรีราชา อ.ศรีราชา ชลบุรี 20110,จันทร์-อาทิตย์ 07.00-22.00 น. ,Bangchak Sriracha,"137/102 Bangchak Service Station, Sriracha, Si Racha, Chon Buri 20110",Monday-Sunday 07.00-22.00 
บางจาก สระบุรี,IC139519,14.41543,100.89214,สถานีบริการบางจาก สระบุรี กม94 ห้วยขมิ้น อ.หนองแค สระบุรี 18230,ทุกวัน 07.00-22.00 น.,BANGCHAK SARABURI KM 94 OB,"Bangchak Service Station, Saraburi, Km 94, Huai Khamin, Nong Khae, Saraburi 18230",Every day 07.00-22.00
ปตท. จิฟฟี่ แหลมฉบัง,IC99908,13.0549373,100.9257062,ปตท.แหลมฉบัง ทล. 3 กม 131 ชุมชนบ้านทุ่งกราด ซอย 8  ถ.สุขุมวิท ตำบลบางละมุง อำเภอบางละมุง ชลบุรี 20150,จันทร์-อาทิตย์ 07.00-22.00 น. ,PTT Jiffy Laemchabang,"PTT Jiffy Laemchabang KM131 Baan Tung Kruad Soi 8, Sukhumvit Road, Tumbon Banglamung, Amphur Banglamung, Chonburi 20150",Monday-Sunday 07.00-22.00 
ปตท สระบุรี,IC139523,14.464147,100.906775,สถานีบริการปตท ถนนพหลโยธิน กม100 สระบุรี 18000,ทุกวัน 7.00-23.00 น.,PTT SARABURI KM 100 (IB),PTT Phaholyothin KM 100 Saraburi 18000,Every day 7.00-23.00
พัทยากลาง,IC52140,12.936688,100.882879,246/3 หมู่ 9 หนองปรือ บางละมุง ชลบุรี 20150,จันทร์-อาทิตย์ 07.00-02.00 น. ,PATTAYA KLANG,246/3 Moo 9 Nongplea Banglamung Chonburi 20150,Monday-Sunday 07.00-02.00 
รอยัลการ์เด้น พัทยา ,IC52151,12.9296414,100.8777513,218 หมุ่ 10 ถ.เลียบชายหาด เมืองพัทยา บางละมุง ชลบุรี 20150,จันทร์-อาทิตย์ 07.00-24.00 น. ,ROYAL GARDEN PATTAYA (PATTAYA),"218 Moo.10 Beach, Pattaya city Banglamung Chonburi 20150",Monday-Sunday 07.00-24.00 
เอสโซ่ พัทยาใต้ (ขาเข้า),IC52119,12.9184636,100.89621,"ถ.สุขุมวิท, หนองปรือ บางละมุง ชลบุรี, 20260",จันทร์-อาทิตย์ 07.00-02.00 น. ,ESSO SOUTH PATTAYA (IB),"Sukhumvit Rd. , Nongprue , Banglamung, Chonburi 20260",Monday-Sunday 07.00-02.00 
ปตท. พีระเซอร์กิจ,IC139520,12.915153,101.022324,สถานีบริการณปตท. ทางหลวงหมายเลข 36 ตำบลโป่ง อำเภอบางละมุง ชลบุรี 20150,จันทร์-อาทิตย์ 7.00-22.00 น. ,PTT JIFFY BHIRA CIRCUIT HY 36 IB,PTT Bhiracircuit 36 Tambon Pong Banglamung Chonburi 20150,Monday-Sunday 7.00-22.00 
ปตท. มาบข่า,IC139525,12.764082,101.180018,สถานีบริการปตท.มาบข่า 54 ถ.ทางหลวงแผ่นดิน สาย36 ต.มาบข่า อ.นิคมพัฒนา จ.ระยอง 21180,จันทร์-อาทิตย์ 7.00-22.00 น. ,PTT MABKHA RAYONG,"Service Station PTT Map Kha 54 National Highway 36 Road, Map Kha Subdistrict, Nikhom Phatthana District, Rayong 21180",Monday-Sunday 7.00-22.00 
ปตท. มาบตาพุด ระยอง (ขาเข้า),IC139529,12.695847,101.195644,ปตท.มาบตาพุด ระยอง ถ.สุขุมวิท ต.เนินพระ จ.ระยอง 21000,จันทร์-อาทิตย์ 07.00-22.00 น. ,PTT Mabtapud Rayong (IB),"PTT Jiffy Maptaphut, Sukhumvit Rd, Noen Phra Sub-district, Mueang Rayong District, Rayong 21000",Monday-Sunday 07.00-22.00 
หัวหิน มาร์เก็ต วิลเลจ,IC268342,12.557841,99.960421,มาร์เก็ตวิลเลจ หัวหิน เลขที่ 234/1 หัวหิน มาร์เก็ตวิลเลจ  ถ.เพชรเกษม อ.หัวหิน ต.หัวหิน จ.ประจวบ 77110,จันทร์-อาทิตย์ 08.00-24.00 น. ,Huahin Market Village,"HUA HIN MARKET VILLAGE 234/1 PHETKASEM ROAD, Hua Hin Prachuap-Khiri-Khan 77110",Monday-Sunday 08.00-24.00 
บลูพอร์ต หัวหิน,IC268343,12.5478546,99.9619657,ศูนย์การค้าบลูพอร์ท ชั้น G 8/89 ซ.หมู่บ้านหนองแก ตำบลหนองแก อำเภอหัวหิน จังหวัดประจวบคีรีขันธ์ 77110,จันทร์-อาทิตย์ 10.00-20.00 น. ศุกร์-เสาร์ 10.00-21.00 น. ,Blu Port Hua-Hin,"Blueport Shopping Center G Floor, 8/89, Soi Nong Kae Village, Nong Kae Subdistrict, Hua Hin District, Prachuap Khiri Khan Province 77110",Monday-Sunday 10.00-20.00 Friday-Saturday 10.00-21.00 
เดอะ มอลล์ โคราช,IC114275,14.980426,102.076341,ห้อง 107 ชั้น G เดอะมอลล์โคราช เลขที่ 1242/2 ถนนมิตรภาพ อำเภอเมือง จังหวัดนครราชสีมา 30000,จันทร์-พฤหัสบดี 10.00-20.30 น. ศุกร์-อาทิตย์ 10.00-21.00 น. ,The Mall Korat,1242/2  G Floor  The Mall Korat Mittraphap Highway  Muang District Nakornrachasima 30000,Monday-Thursday 10.00-20.30 Friday-Sunday 10.00-21.00 
ตลาดต้นตาล,IC282372,16.4170933,102.8185386,เลขที่ 789/292 หมู่ที่ 17 ถนนมิตรภาพ ตำบลในเมือง อำเภอเมืองขอนแก่น จังหวัดขอนแก่น 40000,จันทร์-อาทิตย์ 07.00-02.00 น. ,Ton Tan Market,"No. 789/292 Moo 17 Ton Tan Market  Nai Mueang, Mueang Khon Kaen, Khon Kaen 40110",Monday-Sunday 07.00-02.00 
สมุยลีฟวิ่งพลาซ่า,IC52153,9.5290485,100.0600615,202/8 และ202/4  หมู่ที่2  ตำบลบ่อผุด อำเภอเกาะสมุย สุราษฎร์ธานี 84320,ทุกวัน 9.00-3.00 น.,SAMUI LIVING PLAZA,"202/8 and 202/4 Borpud ,Koh Samui ,Surat Thani 84320",Every day 9.00-3.00
ยูดี ทาวน์,IC107027,17.398664,102.804936,ยูดีทาวน์ 99/9 ถนนทองใหญ่ ตำบลหมากแข้ง อำเภอเมือง จังหวัดอุดรธานี 41000,จันทร์-อาทิตย์ 8.00-22.00 น. ,UD Town ,"UD Town 99/9 Thong Yai Road, Tambon Mak Khaeng, Amphoe Mueang, Udon Thani 41000",Monday-Sunday 8.00-22.00 
เชลล์ มงฟอร์ต,IC52158,18.76276482627,99.02291893959,สถานีบริการเชลล์ ถนน มหิดล ตำบลท่าศาลา อำเภอเมืองเชียงใหม่ จังหวัด เชียงใหม่ 50000,จันทร์-อาทิตย์ 07.00-02.00 น. ,SHELL MONTFORT (DT),Shell Mongfort Mahidol Road Tasala Chiangmai 50000,Monday-Sunday 07.00-02.00 
เอสโซ่ หางดง (ขาออก),IC52112,18.763411,98.973933,สถานีบริการเอสโซ่ เลขที่ 218 หมู่ 1 เชียงใหม่-ฮอด ป่าแดด เมืองเชียงใหม่ จังหวัดเชียงใหม่ 50100,จันทร์-อาทิตย์ 07.00-23.00 น. ,ESSO HANGDONG(OB),Esso Hangdong 218 Moo 1 Chiangmai - Hod Padad Chiangmai 50100,Monday-Sunday 07.00-23.00 
ท่าแพ เชียงใหม่,IC52163,18.787925,98.993103,2-6 ถ.ราชดำเนิน ต. ศรีภูมิ อ. เมือง เชียงใหม่ 50200,จันทร์-อาทิตย์ 08.00-24.00 น. ,THAPAE,2-6 Ratchadamnoen Rd . Chinangmai Thailand 50200,Monday-Sunday 08.00-24.00 
ปตท. แม่ริม เชียงใหม่,IC273403,18.9215583,98.9400158,ปตท.แม่ริม ต.ริมใต้ อ.แม่ริม จ.เชียงใหม่ 50180,จันทร์-อาทิตย์ 07.00-22.00 น. ,PTT Mae Rim Chaingmai,"PTT Mae Rim Chiangmai Rim Tai,Mae Rim District ,Chiangmai 50180",Monday-Sunday 07.00-22.00 
อ่าวนาง,IC57220,8.031594,98.822495,ชั้น2 อ่าวนาง ปทุมวัน อ.เมืองกระบี่ จ.กระบี่ 81180,จันทร์-อาทิตย์ 07.00-24.00 น. ,AO NANG,"2nd Floor, Ao Nang, Pathumwan, Mueang Krabi District, Krabi 81180",Monday-Sunday 07.00-24.00 
ภูเก็ตแอร์พอร์ต,IC52142,8.10633096,98.30581531,ท่าอากาศยานภูเก็ต ตำบลไม้ขาว อำเภอถลาง จังหวัดภูเก็ต 83110,ทุกวัน ตลอด 24 ชม.,PHUKET AIRPORT 3RD FLOOR AIRSIDE,Phuket Airport Maikao Talang Phuket 83110,Every day 24 hrs.
ท่าอากาศยานภูเก็ต เทอร์นอล 2 แลนด์ไซด์ ชั้น 4,IC52183,8.105475,98.305614,ท่าอากาศยานภูเก็ต : เทอมินอล 2 ระหว่างประเทศ (แลนด์ไซด์ ชั้น 4),ทุกวัน ตลอด 24 ชม.,BK_HKT-T2(LS),"Phuket Airport  - Terminal 2 International (Landside , 4th Floor)",Every day 24 hrs.
ปตท. ภูเก็ต,IC139521,8.004588,98.343011,เลขที่ 205 หมู่1 แขวงศรีสุนทร เขตถลาง จังหวัดภูเก็ต 83110,จันทร์-อาทิตย์ 7.00-22.00 น. ,PTT PHUKET,"205 /1 PTT Gas Station Sri sunthon Tambol  Thalang, Phuket 83110",Monday-Sunday 7.00-22.00 
โบ๊ท อเวนิว,IC139522,7.993093,98.305807,ต.เชิงทะเล อ.ถลาง ภูเก็ต 83110,จันทร์-อาทิตย์ 8.00-23.00 น. ,Boat Avenue,"Choeng Thale Subdistrict, Thalang District, Phuket 83110",Monday-Sunday 8.00-23.00 
ป่าตอง บางลา,IC189329,7.894638,98.295604,"25, 27 ถนนทวีวงศ์ ป่าตอง กระทู้ จังหวัด ภูเก็ต",จันทร์-อาทิตย์ 7.00-23.00 น. ,Patong Bangla,"25, 27 Thaweewong, Patong, Kathu, Phuket Province",Monday-Sunday 7.00-23.00 
จังซีลอน 1,IC52143,7.892422,98.29865,ศูนย์การค้าจังซีลอนภูเก็ต เลขที่ 181 ห้องเลขที่ 1108   ชั้น 1 ถ.ราษฏร์อุทิศ 200 ปี ต.ป่าตอง อ.กระทู้ จ. ภูเก็ต 83150,ทุกวัน 11.00-23.00 น.,PHUKET JUNGCEYLON,"Jungceylon 181,Suite 1108,Floor 1,Kathu,Kathi District,Phuket 83150",Every day 11.00-23.00
เชลล์เจ้าฟ้า,IC139516,7.868164,98.355607,สถานีบริการน้ำมันเชลล์ 90/12  หมู่2 ถนนเจ้าฟ้า ต.วิชิต อ. เมืองภูเก็ต จ. ภูเก็ต,จันทร์-อาทิตย์ 7.00-23.00 น. ,SHELL CHAOFAH WEST PHUKET,"Shell Gas Station 90/12 Moo 2 Chao Fa Road, Wichit Subdistrict, Mueang Phuket District, Phuket 83000",Monday-Sunday 7.00-23.00 
โอทอป ป่าตอง,IC52170,7.887268,98.294837,โอทอป ป่าตอง 237/9 ถ.ราษฎร์อุทิศ200ปี กะทู้ ภูเก็ต 83150,ทุกวัน 11.00-06.00 น.,Otop Patong ,Otop Patong 237/9 Ratutid 200 Year Road Kratu Phuket 83150,Every day 11.00-06.00
โอทอป ป่าตอง,IC304334,7.8872411,98.2947704,เลขที่ 237/7 โอทอป ป่าตอง ถนนราษฎร์อุทิศ200ปี ตำบลป่าตอง อำเภอกะทู้ จังหวัดภูเก็ต 83120,จันทร์-อาทิตย์ 11.00-02.00 น. ,OTOP Patong,"No. 237/7 OTOP Patong  Patong Beach Rat Uthit 200 years road, Patongsub-district, Kratu district Phuket 83120",Monday-Sunday 11.00-02.00 
หาดใหญ่ วิลเลจ,IC307487,7.029944,100.501386,เลขที่ 538 ถ. กาญจนวนิช ตำบล คอหงส์ อำเภอหาดใหญ่ สงขลา 90110,จันทร์-อาทิตย์ 08.00-22.00 น. ,Had Yai Village,"No. 538 Kanjanavanich Rd, Kho Hong, Hat Yai District, Songkhla 90110",Monday-Sunday 08.00-22.00 
